Barcode,Product Name,Brand
070470403885,"LOW FAT YOGURT, STRAWBERRY, MIXED BERRY, ORIGINAL","Yoplait USA"
052159702946,"PLAIN ORGANIC GREEK WHOLE MILK YOGURT, PLAIN","Stonyfield Farm Inc"
052159006051,"RASPBERRY ORGANIC DAIRY FREE SOY YOGURT, RASPBERRY","Stonyfield Farm Inc"
070470139111,"PLAIN PROTEIN YOGURT-CULTURED ULTRA-FILTERED MILK, PLAIN","Yoplait USA"
052159704384,"MIXED BERRY ORGANIC KIDS LOWFAT YOGURT, MIXED BERRY","Stonyfield Farm Inc"
850003023465,"VANILLA ORGANIC DAIRY-FREE COCONUT YOGURT ALTERNATIVE, VANILLA","Harmless Harvest Inc."
070470433295,"VANILLA FLAVORED GREEK 100 PROTEIN FAT FREE YOGURT, VANILLA","Yoplait USA"
084114112484,"DILL PICKLE KRINKLE CUT POTATO CHIPS, DILL PICKLE","Snyder's-Lance, Inc."
812891020872,"SEA SALT DIPPERS BLACK BEAN CHIPS, SEA SALT","Beanitos, Inc."
073731405154,"SPICY NACHO FLAVORED ROLLED TORTILLA CHIPS, SPICY NACHO","Mission Foods Inc"
073731430019,"YELLOW CORN TORTILLA CHIPS WITH SEA SALT, YELLOW CORN","Mission Foods Inc"
077260090362,"SEMI-SWEET STYLE BAKING CHIPS, SEMI-SWEET STYLE","Russell Stover Candies Inc."
073731405147,"HABANERO AND LIME FLAVORED HOT ROLLED TORTILLA CHIPS, HABANERO AND LIME","Mission Foods Inc"
722252167736,"ENERGY BARS, WILD BLUEBERRY ACAI","Clif Bar and Company"
036200219225,"FIVE CHEESE WITH ROMANO & PARMESAN CHEESES SAUCE, FIVE CHEESE","Mizkan America, Inc."
013800847362,"CHICKEN & DUMPLINGS WHITE MEAT CHICKEN AND FLAT DUMPLINGS IN A CEAMY SAUCE WITH PEAS AND CARROTS, CHICKEN & DUMPLINGS","Nestle Usa-Frozen Food Division"
041390014550,"TERIYAKI SAUCE, ORIGINAL","Kikkoman Sales USA, Inc."
041565280797,"MEDIUM AVOCADO SALSA, MEDIUM AVOCADO","Pace Foods, Inc."
180999000516,"LESSEREVIL, CHIA CRISPS, BAKED CRUNCHY BLACK BEAN CHIPS, CRUNCHY DILL PICKLE, CRUNCHY DILL PICKLE","LesserEvil, LLC"
853555006535,"MAPLE SEA SALT PURE PROMISE MACROBAR, MAPLE SEA SALT","GO MACRO LLC"
722252139986,"CARAMEL MACCHIATO ENERGY BARS, CARAMEL MACCHIATO","Clif Bar and Company"
021000077311,"SLAMMIN' HAM & COLBY JACK CHEESE IN WHEAT BREAD, SLAMMIN' HAM & COLBY","Kraft Heinz Foods Company"
080000519726,"SPICY PEPPER RICE & BEANS WITH TUNA, SPICY PEPPER","StarKist Co."
042272013265,"CHEESE VEGGIE CRUST PIZZA, CHEESE","Amy's Kitchen Inc."
041000082481,"CHEESY BACON MACARONI IN A CHEESY SAUCE WITH BACON BITS, CHEESY BACON MACARONI","Lipton"
851702007381,"COCONUT CURRY & LIME BONE BROTH, COCONUT CURRY & LIME","KETTLE AND FIRE LLC"
042272014101,"MUSHROOMS & SPINACH PENNE WITH BOWLS IN A THREE CHEESE SAUCE, MUSHROOMS & SPINACH","Amy's Kitchen Inc."
851921006462,"SWEET OAT BREAD, SWEET OAT","SOLA"
015300201026,"MAC'N CHEESE FOUR CHEESY PASTA WITH FLAVORED SAUCE, MAC'N CHEESE FOUR CHEESY","The Quaker Oats Co/golden Grain"
021000658978,"ORIGINAL CHEESE SPIRALS PASTA MAC & CHEESE SAUCE MIX, ORIGINAL CHEESE","Kraft Heinz Foods Company"
021000033720,"ORIGINAL MAC & CHEESE MACARONI & CHEESE SAUCE MIX, ORIGINAL MAC & CHEESE","Kraft Heinz Foods Company"
021000658947,"ORIGINAL MACARONI & CHEESE SAUCE MIX, ORIGINAL","Kraft Heinz Foods Company"
021000658800,"TANGY ITALIAN SPAGHETTI, SPICE MIX & PARMESAN CHEESE, TANGY ITALIAN","Kraft Heinz Foods Company"
071921286644,"PEPPERONI ORIGINAL MADE WITH PORK, CHICKEN & BEEF THIN CRUST PIZZA, PEPPERONI","Nestle USA Inc."
850010613284,"TOM YUM CHICKEN BONE BROTH, TOM YUM CHICKEN","KETTLE AND FIRE LLC"
015300201088,"CHICKEN RICE, VERMICELLI, CHICKEN BROTH AND HERBS, CHICKEN","The Quaker Oats Co/golden Grain"
070847812715,"LOCA MOCA COFFEE + ENERGY DRINK, LOCA MOCA","Monster Energy Company"
021000080649,"MACARONI & CHEESE DINNER","Kraft Heinz Foods Company"
717524887504,"COLBY-JACK CHEESE AND RITZ CRACKER SNACK TRAY","Del Monte Fresh Produce N.A., Inc."
024000523697,"DEL MONTE, PASTA SAUCE, FOUR CHEESE, FOUR CHEESE","Del Monte Foods Inc."
070847812517,"IRISH BLEND ENERGY DRINK","Monster Energy Company"
044000060190,"JALAPENO CHEDDAR CRISP & THINS POTATO AND WHEAT CHIPS, JALAPENO CHEDDAR","Nabisco Biscuit Company"
044700011843,"ORIGINAL HAM & CHEESE LOAF, ORIGINAL HAM & CHEESE","Kraft Heinz Foods Company"
037600305440,"PRETZEL FLAVORED CENTER WITH PEANUT BUTTER COATING, PRETZEL","Hormel Foods Corporation"
021000653218,"THREE CHEESE PASTA SHELLS PASTA & CHEESE SAUCE MIX, THREE CHEESE","Kraft Heinz Foods Company"
044000023737,"MISTER SALTY PRETZELS 'N CHEESY DIP, MISTER SALTY","Nabisco Biscuit Company"
013800708588,"NACHO SPICY MAC ULTIMATE PASTA IN A CREAMY NACHO CHEESE SAUCE SEASONED WITH SPICY CHILI PEPPERS, SPICY NACHO MAC","Nestle Usa-Frozen Food Division"
072745807251,"PIZZA CHICKEN PLUS CHICKEN BREAST & VEGETABLES SNACKERS, PIZZA","Perdue Farms Incorporated"
082592634030,"KALE BLAZER FLAVORED BLEND OF 8 JUICES PARTIALLY FROM CONCENTRATE, KALE BLAZER","Naked Juice"
082592634153,"KALE BLAZER KALE FLAVORED BLEND OF 8 JUICES, KALE BLAZER","Naked Juice"
025000100635,"LIGHT CALCIUM & VITAMIN D PULP FREE ORANGE JUICE, LIGHT CALCIUM & VITAMIN D PULP FREE","The Minute Maid Company"
025000044885,"LOW ACID WITH CALCIUM PULP FREE ORANGE JUICE , LOW ACID WITH CALCIUM PULP FREE","The Minute Maid Company"
082592660329,"MIGHTY MANGO A BLEND OF 5 JUICES, MIGHTY MANGO","Naked Juice"
082592660640,"MIGHTY MANGO BLEND OF 5 JUICES PARTIALLY FROM CONCENTRATE, MIGHTY MANGO","Naked Juice"
082592633187,"MIGHTY MANGO BLEND OF 5 JUICES, MIGHTY MANGO","Naked Juice"
025000040702,"NO PULP PURE SQUEEZED ORANGE JUICE, NO PULP","The Minute Maid Company"
025000100147,"PULP FREE ORANGE JUICE, PULP FREE","The Minute Maid Company"
025000051395,"PULP FREE WITH BANANA JUICE BLEND, PULP FREE WITH BANANA","The Minute Maid Company"
025000040801,"PULP FREE WITH MANGO JUICE BLEND, PULP FREE WITH MANGO","The Minute Maid Company"
025000040825,"PULP FREE WITH PINEAPPLE JUICE BLEND, PULP FREE WITH PINEAPPLE","The Minute Maid Company"
025000051777,"PULP FREE WITH TANGERINE JUICE BLEND, PULP FREE WITH TANGERINE","The Minute Maid Company"
082592011534,"RAINBOW MACHINE FLAVORED BLEND OF 7 JUICES, RAINBOW MACHINE","Naked Juice"
025000040764,"SOME PULP PURE SQUEEZED ORANGE JUICE, SOME PULP","The Minute Maid Company"
013800152619,"ROASTED VEGETABLE FRENCH BREAD PIZZA, ROASTED VEGETABLE","Nestle Usa-Frozen Food Division"
013800151803,"SAUSAGE & PEPPERONI FRENCH BREAD PIZZAS, SAUSAGE & PEPPERONI","Nestle Usa-Frozen Food Division"
073472001738,"FOOD FOR LIFE, GLUTEN FREE, EXOTIC BLACK RICE BREAD","Food For Life Baking Co Inc"
853584002317,"HONEY OAT 100% WHOLE GRAIN BREAD, HONEY OAT","Canyon Bakehouse LLC"
039978006677,"BOB'S RED MILL, 100% WHOLE WHEAT BREAD MIX","Bob's Red Mill Natural Foods, Inc."
046100036044,"CLOVER VALLEY, CHEESE & STICKS, CHEESE DIP WITH BREAD STICKS","Sargento Foods Inc"
075185006062,"MAPLE BROWN SUGAR SWIRL POTATO BREAD, MAPLE BROWN SUGAR","Martin's Famous Pastry Shoppe, Inc."
024235024815,"RAINIER ORGANIC BAKERY, EZEKIEL 4:9, CINNAMON RAISIN BREAD","Food For Life Baking Co Inc"
072745805592,"LIGHTLY BREADED CHICKEN STRIPS, CHICKEN BREAST MEAT WITH RIB MEAT","Perdue Farms Incorporated"
