Barcode,Product Name,Brand,Category
,"Coffee mate Vanilla Caramel Liquid Coffee Creamer","Coffee mate","Coffee Creamer"
,"Coffee mate SNICKERS Liquid Coffee Creamer","Coffee mate","Coffee Creamer"
,"Coffee mate Zero Sugar Italian Sweet Creme Liquid Coffee Creamer","Coffee mate","Coffee Creamer"
,"International Delight Irish Creme Coffee Creamer","International Delight","Coffee Creamer"
,"International Delight Southern Butter Pecan Coffee Creamer","International Delight","Coffee Creamer"
,"International Delight Zero Sugar Caramel Macchiato Coffee Creamer","International Delight","Coffee Creamer"
,"International Delight REESE'S Peanut Butter Cup Coffee Creamer","International Delight","Coffee Creamer"
,"Chobani Sweet Cream Coffee Creamer","Chobani","Coffee Creamer"
,"Chobani Vanilla Coffee Creamer","Chobani","Coffee Creamer"
,"Chobani Caramel Macchiato Coffee Creamer","Chobani","Coffee Creamer"
,"nutpods French Vanilla Unsweetened Almond + Coconut Creamer","nutpods","Coffee Creamer"
,"Planters Roasted & Salted Cashews","Planters","Nuts & Trail Mix"
,"Planters Deluxe Whole Cashews","Planters","Nuts & Trail Mix"
,"Good & Gather Monster Trail Mix","Good & Gather","Nuts & Trail Mix"
,"Blue Diamond Smokehouse Almonds","Blue Diamond","Nuts & Trail Mix"
,"Blue Diamond Bold Sriracha Almonds","Blue Diamond","Nuts & Trail Mix"
,"Blue Diamond Honey Roasted Almonds","Blue Diamond","Nuts & Trail Mix"
,"Blue Diamond Lightly Salted Almonds","Blue Diamond","Nuts & Trail Mix"
,"Wonderful Pistachios No Shells Chili Roasted","Wonderful Pistachios","Nuts & Trail Mix"
,"Wonderful Pistachios No Shells Salt & Pepper","Wonderful Pistachios","Nuts & Trail Mix"
,"Emerald Roasted & Salted Cashews","Emerald","Nuts & Trail Mix"
,"Kar's Sweet 'N Salty Mix","Kar's","Nuts & Trail Mix"
,"Sahale Snacks Honey Almonds Glazed Mix","Sahale Snacks","Nuts & Trail Mix"
,"Fisher Deluxe Mixed Nuts","Fisher","Nuts & Trail Mix"
,"Pete & Gerry's Classic Free Range Large Brown Eggs","Pete & Gerry's","Eggs"
,"Davidson's Safest Choice Pasteurized Large Eggs","Davidson's Safest Choice","Eggs"
,"Eggland's Best Cage Free Large White Eggs","Eggland's Best","Eggs"
,"Eggland's Best Omega-3 Large White Eggs","Eggland's Best","Eggs"
,"Eggland's Best Classic Jumbo White Eggs","Eggland's Best","Eggs"
,"Simple Truth Organic Cage Free Large Brown Eggs","Simple Truth Organic","Eggs"
,"Simple Truth Natural Cage Free Large Brown Eggs","Simple Truth","Eggs"
,"Kroger Grade A Large White Eggs","Kroger","Eggs"
,"Kroger Cage Free Large Brown Eggs","Kroger","Eggs"
,"Great Value Grade A Large White Eggs","Great Value","Eggs"
,"Great Value Cage Free Large Brown Eggs","Great Value","Eggs"
,"Good & Gather Grade A Large Eggs","Good & Gather","Eggs"
,"JUST Egg Plant Based Egg","JUST Egg","Eggs"
,"Justin's Honey Almond Butter","Justin's","Nut Butters"
,"Justin's Maple Almond Butter","Justin's","Nut Butters"
,"MaraNatha No Stir Creamy Almond Butter","MaraNatha","Nut Butters"
,"MaraNatha No Stir Crunchy Almond Butter","MaraNatha","Nut Butters"
,"Once Again Organic Creamy Cashew Butter","Once Again","Nut Butters"
,"SunButter Creamy Sunflower Butter","SunButter","Nut Butters"
,"SunButter Crunchy Sunflower Butter","SunButter","Nut Butters"
,"SunButter No Sugar Added Sunflower Butter","SunButter","Nut Butters"
,"SunButter Chocolate Sunflower Butter","SunButter","Nut Butters"
,"NuttZo Power Fuel Crunchy Nut & Seed Butter","NuttZo","Nut Butters"
,"365 Whole Foods Market Creamy Almond Butter","365 Whole Foods Market","Nut Butters"
,"Artisana Organics Raw Almond Butter","Artisana Organics","Nut Butters"
,"Nutella Hazelnut Spread with Cocoa","Nutella","Nut Butters"
,"Sargento Ultra Thin Provolone Slices","Sargento","Cheese & Dairy"
,"Sargento Pepper Jack Slices","Sargento","Cheese & Dairy"
,"Tillamook Medium Cheddar Cheese Block","Tillamook","Cheese & Dairy"
,"Tillamook Extra Sharp White Cheddar Cheese Block","Tillamook","Cheese & Dairy"
,"Cabot Vermont Sharp Cheddar Cheese","Cabot","Cheese & Dairy"
,"Kraft Sharp Cheddar Finely Shredded Cheese","Kraft","Cheese & Dairy"
,"Kraft Mozzarella Finely Shredded Cheese","Kraft","Cheese & Dairy"
,"Daisy 4% Cottage Cheese","Daisy","Cheese & Dairy"
,"Breakstone's 2% Milkfat Lowfat Cottage Cheese","Breakstone's","Cheese & Dairy"
,"Galbani Whole Milk Ricotta Cheese","Galbani","Cheese & Dairy"
,"BelGioioso Fresh Mozzarella Cheese","BelGioioso","Cheese & Dairy"
,"Président Crumbled Feta Cheese","Président","Cheese & Dairy"
,"Organic Valley Salted Butter","Organic Valley","Cheese & Dairy"
,"Silk Unsweetened Almondmilk","Silk","Plant-Based Milk"
,"Silk Unsweetened Vanilla Almondmilk","Silk","Plant-Based Milk"
,"Silk Vanilla Almondmilk","Silk","Plant-Based Milk"
,"Blue Diamond Almond Breeze Unsweetened Original Almondmilk","Blue Diamond","Plant-Based Milk"
,"Blue Diamond Almond Breeze Unsweetened Vanilla Almondmilk","Blue Diamond","Plant-Based Milk"
,"Califia Farms Unsweetened Almondmilk","Califia Farms","Plant-Based Milk"
,"Califia Farms Extra Creamy Oatmilk","Califia Farms","Plant-Based Milk"
,"Planet Oat Extra Creamy Oatmilk","Planet Oat","Plant-Based Milk"
,"Planet Oat Unsweetened Original Oatmilk","Planet Oat","Plant-Based Milk"
,"Oatly Low Fat Oatmilk","Oatly","Plant-Based Milk"
,"Ripple Kids Original Plant-Based Milk","Ripple","Plant-Based Milk"
,"Silk Organic Unsweetened Soymilk","Silk","Plant-Based Milk"
,"McCann's Traditional Steel Cut Irish Oatmeal","McCann's","Hot Cereal"
,"McCann's Instant Irish Oatmeal Regular","McCann's","Hot Cereal"
,"McCann's Instant Irish Oatmeal Maple & Brown Sugar","McCann's","Hot Cereal"
,"Cream of Wheat Whole Grain Hot Cereal","Cream of Wheat","Hot Cereal"
,"Cream of Wheat Instant Original Hot Cereal","Cream of Wheat","Hot Cereal"
,"Cream of Wheat Instant Maple Brown Sugar Hot Cereal","Cream of Wheat","Hot Cereal"
,"Chocolate Malt-O-Meal Quick Cooking Hot Wheat Cereal","Malt-O-Meal","Hot Cereal"
,"Malt-O-Meal Maple & Brown Sugar Hot Wheat Cereal","Malt-O-Meal","Hot Cereal"
,"Better Oats Thick & Hearty Blueberry Muffin Instant Oatmeal","Better Oats","Hot Cereal"
,"Better Oats Steel Cut Maple & Brown Sugar Instant Oatmeal","Better Oats","Hot Cereal"
,"Kodiak Protein-Packed Oatmeal Cinnamon","Kodiak","Hot Cereal"
,"Nature's Path Organic Apple Cinnamon Instant Oatmeal","Nature's Path","Hot Cereal"
,"Bertolli Extra Virgin Olive Oil","Bertolli","Cooking Oils & Vinegars"
,"Bertolli Extra Light Tasting Olive Oil","Bertolli","Cooking Oils & Vinegars"
,"Pompeian Robust Extra Virgin Olive Oil","Pompeian","Cooking Oils & Vinegars"
,"Pompeian Grapeseed Oil","Pompeian","Cooking Oils & Vinegars"
,"Mazola Corn Oil","Mazola","Cooking Oils & Vinegars"
,"Mazola Canola Oil","Mazola","Cooking Oils & Vinegars"
,"Crisco Pure Canola Oil","Crisco","Cooking Oils & Vinegars"
,"Crisco Pure Peanut Oil","Crisco","Cooking Oils & Vinegars"
,"Wesson 100% Natural Vegetable Oil","Wesson","Cooking Oils & Vinegars"
,"Heinz Distilled White Vinegar","Heinz","Cooking Oils & Vinegars"
,"De Nigris Balsamic Vinegar of Modena","De Nigris","Cooking Oils & Vinegars"
,"Spectrum Culinary Organic Extra Virgin Olive Oil","Spectrum Culinary","Cooking Oils & Vinegars"
,"Chobani Vanilla Greek Yogurt","Chobani","Yogurt"
,"Chobani Peach on the Bottom Greek Yogurt","Chobani","Yogurt"
,"Oikos Triple Zero Strawberry Greek Yogurt","Oikos","Yogurt"
,"Oikos Pro Vanilla Greek Yogurt","Oikos","Yogurt"
,"Dannon Light + Fit Greek Vanilla Nonfat Yogurt","Dannon","Yogurt"
,"Dannon Light + Fit Greek Blueberry Nonfat Yogurt","Dannon","Yogurt"
,"Activia Vanilla Probiotic Lowfat Yogurt","Activia","Yogurt"
,"Yoplait Original Blueberry Yogurt","Yoplait","Yogurt"
,"Yoplait Original Key Lime Pie Yogurt","Yoplait","Yogurt"
,"Siggi's Vanilla Skyr","Siggi's","Yogurt"
,"Icelandic Provisions Vanilla Skyr","Icelandic Provisions","Yogurt"
,"FAGE Total 5% Plain Greek Yogurt","FAGE","Yogurt"
,"Nature's Path Love Crunch Dark Chocolate & Peanut Butter Granola","Nature's Path","Granola"
,"Bob's Red Mill Honey Oat Granola","Bob's Red Mill","Granola"
,"Bob's Red Mill Maple Sea Salt Granola","Bob's Red Mill","Granola"
,"KIND Healthy Grains Vanilla Blueberry Clusters with Flax Seeds","KIND","Granola"
,"KIND Healthy Grains Almond Butter Whole Grain Clusters","KIND","Granola"
,"Bear Naked Fit Vanilla Almond Crisp Granola","Bear Naked","Granola"
,"Purely Elizabeth Vanilla Almond Butter Ancient Grain Granola","Purely Elizabeth","Granola"
,"Purely Elizabeth Coconut Cashew Grain-Free Granola","Purely Elizabeth","Granola"
,"Purely Elizabeth Blueberry Hemp Ancient Grain Granola","Purely Elizabeth","Granola"
,"Cascadian Farm Organic Cinnamon Apple Granola","Cascadian Farm Organic","Granola"
,"Michele's Original Granola","Michele's","Granola"
,"Jessica's Natural Foods Chocolate Chip Granola","Jessica's Natural Foods","Granola"
,"Perdue Short Cuts Carved Chicken Breast Original Roasted","Perdue","Meat & Seafood / Primary Proteins"
,"Perdue Breaded Chicken Breast Tenders","Perdue","Meat & Seafood / Primary Proteins"
,"Butterball 93% Lean Ground Turkey","Butterball","Meat & Seafood / Primary Proteins"
,"Butterball Original Seasoned Turkey Burgers","Butterball","Meat & Seafood / Primary Proteins"
,"Johnsonville Mild Italian Sausage Links","Johnsonville","Meat & Seafood / Primary Proteins"
,"Johnsonville Cheddar Brats","Johnsonville","Meat & Seafood / Primary Proteins"
,"Gorton's Crunchy Breaded Fish Sticks","Gorton's","Meat & Seafood / Primary Proteins"
,"Gorton's Beer Battered Fish Fillets","Gorton's","Meat & Seafood / Primary Proteins"
,"SeaPak Popcorn Shrimp","SeaPak","Meat & Seafood / Primary Proteins"
,"Trident Seafoods Alaska Salmon Burgers","Trident Seafoods","Meat & Seafood / Primary Proteins"
,"Beyond Meat Beyond Beef Plant-Based Ground","Beyond Meat","Meat & Seafood / Primary Proteins"
,"Impossible Beef Made From Plants","Impossible Foods","Meat & Seafood / Primary Proteins"
,"Ragu Old World Style Traditional Sauce","Ragu","Pasta Sauce & Cooking Sauces"
,"Ragu Chunky Tomato Garlic & Onion Sauce","Ragu","Pasta Sauce & Cooking Sauces"
,"Ragu Simply Traditional Sauce","Ragu","Pasta Sauce & Cooking Sauces"
,"Carbone Tomato Basil Pasta Sauce","Carbone Fine Food","Pasta Sauce & Cooking Sauces"
,"Carbone Spicy Vodka Pasta Sauce","Carbone Fine Food","Pasta Sauce & Cooking Sauces"
,"Classico Four Cheese Pasta Sauce","Classico","Pasta Sauce & Cooking Sauces"
,"Bertolli Traditional Marinara Sauce","Bertolli","Pasta Sauce & Cooking Sauces"
,"Mezzetta Napa Valley Homemade Marinara Sauce","Mezzetta","Pasta Sauce & Cooking Sauces"
,"Private Selection Imported Marinara Pasta Sauce","Private Selection","Pasta Sauce & Cooking Sauces"
,"Private Selection Imported Roasted Garlic Pasta Sauce","Private Selection","Pasta Sauce & Cooking Sauces"
,"Mid's Italian Sausage Pasta Sauce","Mid's","Pasta Sauce & Cooking Sauces"
,"Yo Mama's Basil Tomato Pasta Sauce","Yo Mama's Foods","Pasta Sauce & Cooking Sauces"
,"Boar's Head EverRoast Oven Roasted Chicken Breast","Boar's Head","Deli & Lunch"
,"Boar's Head Maple Glazed Honey Coat Turkey Breast","Boar's Head","Deli & Lunch"
,"Boar's Head Deluxe Low Sodium Oven Roasted Beef","Boar's Head","Deli & Lunch"
,"Boar's Head Branded Deluxe Ham","Boar's Head","Deli & Lunch"
,"Applegate Naturals Slow Cooked Ham","Applegate","Deli & Lunch"
,"Applegate Naturals Herb Turkey Breast","Applegate","Deli & Lunch"
,"Land O'Frost Bistro Favorites Black Forest Ham","Land O'Frost","Deli & Lunch"
,"Land O'Frost Bistro Favorites Oven Roasted Turkey Breast","Land O'Frost","Deli & Lunch"
,"Sara Lee Honey Ham","Sara Lee","Deli & Lunch"
,"Cedar's Roasted Red Pepper Hommus","Cedar's","Deli & Lunch"
,"Sabra Roasted Red Pepper Hummus","Sabra","Deli & Lunch"
,"Hormel Gatherings Honey Ham & Turkey Party Tray","Hormel Gatherings","Deli & Lunch"
