Barcode,Product Name,Brand,Category
051500048184,"Smucker's Uncrustables Peanut Butter & Strawberry Jam Sandwich","Smucker's Uncrustables","Kids Lunch"
013562479665,"Annie's Organic Real Aged Cheddar Macaroni & Cheese Cup","Annie's","Packaged Meals"
021000012534,"Kraft Easy Mac Original Macaroni & Cheese Cup","Kraft","Packaged Meals"
064144047093,"Chef Boyardee Beef Ravioli Microwave Bowl","Chef Boyardee","Packaged Meals"
044700360019,"Lunchables Turkey & American Cracker Stackers","Lunchables","Kids Lunch"
044700103210,"Lunchables Ham & American Cracker Stackers","Lunchables","Kids Lunch"
044700030486,"Deli Fresh Smoked Uncured Ham","Oscar Mayer","Deli & Lunch"
044700030707,"Deli Fresh Mesquite Smoked Turkey Breast","Oscar Mayer","Deli & Lunch"
044500966466,"Ultra Thin Oven Roasted Turkey Breast, Family Size","Hillshire Farm","Deli & Lunch"
044500329537,"Ultra Thin Black Forest Ham","Hillshire Farm","Deli & Lunch"
044500984699,"Ultra Thin Roast Beef","Hillshire Farm","Deli & Lunch"
031506739019,"Oven Classic Turkey Breast","Dietz & Watson","Deli & Lunch"
031506310270,"Black Forest Smoked Ham","Dietz & Watson","Deli & Lunch"
051900016035,"Premium Honey Ham","Land O'Frost","Deli & Lunch"
051900016028,"Premium Oven Roasted Turkey Breast","Land O'Frost","Deli & Lunch"
051500245408,"Jif No Added Sugar Creamy Peanut Butter Spread 15.5oz","Jif","Peanut Butter"
037600106139,"Skippy Super Chunk Peanut Butter 28oz","Skippy","Peanut Butter"
037600148221,"Skippy Creamy Peanut Butter Spread No Sugar Added 16oz","Skippy","Peanut Butter"
028400008617,"Lay's Barbecue Potato Chips","Lay's","Chips & Crackers"
028400199636,"Lay's Sour Cream & Onion Potato Chips","Lay's","Chips & Crackers"
028400159609,"Ruffles Cheddar & Sour Cream Potato Chips","Ruffles","Chips & Crackers"
028400083133,"Tostitos Original Restaurant Style Tortilla Chips","Tostitos","Chips & Crackers"
028400040044,"Fritos Chili Cheese Corn Chips","Fritos","Chips & Crackers"
028400589321,"Fritos Scoops! Corn Chips","Fritos","Chips & Crackers"
028400337274,"Doritos Spicy Sweet Chili Tortilla Chips","Doritos","Chips & Crackers"
028400078917,"Cheetos Puffs Cheese Flavored Snacks","Cheetos","Chips & Crackers"
028400590020,"Cheetos Crunchy Flamin' Hot Limon Cheese Flavored Snacks","Cheetos","Chips & Crackers"
028400147392,"SunChips Harvest Cheddar Whole Grain Snacks","SunChips","Chips & Crackers"
028400147408,"SunChips Garden Salsa Whole Grain Snacks","SunChips","Chips & Crackers"
084114116642,"Kettle Brand Backyard Barbeque Potato Chips","Kettle Brand","Chips & Crackers"
084114116352,"Kettle Brand Jalapeno Potato Chips","Kettle Brand","Chips & Crackers"
020685001666,"Cape Cod Less Fat Original Kettle Cooked Potato Chips","Cape Cod","Chips & Crackers"
757528029753,"Takis Fuego Rolled Tortilla Chips","Takis","Chips & Crackers"
038000138416,"Pringles Original Potato Crisps","Pringles","Chips & Crackers"
044000031176,"Ritz Garlic Butter Crackers","Ritz","Chips & Crackers"
044000050993,"Triscuit Cracked Pepper & Olive Oil Crackers","Triscuit","Chips & Crackers"
030100100577,"Club Original Crackers","Keebler","Chips & Crackers"
030100100553,"Town House Original Crackers","Kellogg's","Chips & Crackers"
030100784586,"Town House Sea Salt Pita Crackers","Kellogg's","Chips & Crackers"
014100085461,"Goldfish Parmesan Crackers","Goldfish","Chips & Crackers"
033617007032,"Wasa Multi Grain Crispbread","Wasa","Chips & Crackers"
044000044718,"Good Thins Simply Salt Rice Snacks","Good Thins","Chips & Crackers"
861745000027,"Vital Farms Organic Pasture-Raised Large Eggs","Vital Farms","Eggs"
851387007560,"Vital Farms Organic Pasture-Raised Extra Large Eggs","Vital Farms","Eggs"
815652002346,"Pete & Gerry's Organic Free-Range Extra Large Eggs","Pete & Gerry's","Eggs"
081565200241,"Pete & Gerry's Organic Pasture-Raised Eggs","Pete & Gerry's","Eggs"
715141514643,"Eggland's Best Cage Free Large Brown Eggs","Eggland's Best","Eggs"
715141716825,"Eggland's Best Organic Large Brown Eggs","Eggland's Best","Eggs"
715141113563,"Eggland's Best Classic Extra Large White Eggs","Eggland's Best","Eggs"
887422000081,"Happy Egg Organic Free Range Large Brown Eggs","Happy Egg","Eggs"
887422000210,"Happy Egg Free Range Blue and Brown Heritage Breed Eggs","Happy Egg","Eggs"
075900971224,"Bob Evans 100% Liquid Egg Whites","Bob Evans","Eggs"
021130031542,"Lucerne Grade AA Large Eggs","Lucerne","Eggs"
072463000354,"McCann's Quick & Easy Steel Cut Irish Oatmeal","McCann's","Hot Cereal"
030000012000,"Quaker Quick 1-Minute Oats","Quaker","Hot Cereal"
030000321898,"Quaker Steel Cut Quick 3-Minute Oatmeal Blueberries & Cranberries","Quaker","Hot Cereal"
030000319567,"Quaker Instant Oatmeal Apples & Cinnamon","Quaker","Hot Cereal"
030000312087,"Quaker Instant Oatmeal Cinnamon & Spice","Quaker","Hot Cereal"
030000262917,"Quaker Instant Oatmeal Dinosaur Eggs Brown Sugar","Quaker","Hot Cereal"
030000315958,"Quaker Protein Instant Oatmeal Banana Nut","Quaker","Hot Cereal"
039978039576,"Bob's Red Mill Steel Cut Oats","Bob's Red Mill","Hot Cereal"
039978041210,"Bob's Red Mill Scottish Oatmeal","Bob's Red Mill","Hot Cereal"
039978003881,"Bob's Red Mill Gluten Free Quick Cooking Rolled Oats","Bob's Red Mill","Hot Cereal"
883921118227,"Better Oats Maple & Brown Sugar Instant Oatmeal","Better Oats","Hot Cereal"
705599013430,"Kodiak Protein-Packed Oatmeal Maple & Brown Sugar","Kodiak Cakes","Hot Cereal"
013130006965,"Cream of Rice Hot Cereal","Cream of Rice","Hot Cereal"
042400001041,"Malt-O-Meal Original Hot Wheat Cereal","Malt-O-Meal","Hot Cereal"
058449450030,"Nature's Path Organic Maple Nut Instant Oatmeal","Nature's Path","Hot Cereal"
856416000017,"Bear Naked Fruit & Nut Medley Wildly Delicious Granola","Bear Naked","Granola"
856416000703,"Bear Naked Triple Berry Crunch Granola","Bear Naked","Granola"
884623101654,"Bear Naked Cacao & Cashew Butter Granola","Bear Naked","Granola"
602652171826,"KIND Healthy Grains Peanut Butter Whole Grain Clusters","KIND","Granola"
602652171840,"KIND Healthy Grains Cinnamon Oat Clusters with Flax Seeds","KIND","Granola"
602652171994,"KIND Healthy Grains Dark Chocolate Whole Grain Clusters","KIND","Granola"
855140002687,"Purely Elizabeth Chocolate Sea Salt Ancient Grain Granola with Probiotics","Purely Elizabeth","Granola"
021908133119,"Cascadian Farm Organic Fruit and Nut Granola","Cascadian Farm Organic","Granola"
058449771760,"Nature's Path Love Crunch Premium Organic Granola Dark Chocolate & Red Berries","Nature's Path","Granola"
058449770565,"Nature's Path Pumpkin Seed + Flax Granola","Nature's Path Organic","Granola"
687456223087,"MadeGood Organic Strawberry Granola Minis","MadeGood","Granola"
858438003854,"Safe + Fair Birthday Cake Granola","The Safe + Fair Food Company","Granola"
698997806158,"Udi's Gluten Free Au Naturel Granola","Udi's","Granola"
835228006028,"Bakery On Main Gluten-Free Granola Extreme Nut & Fruit","Bakery On Main","Granola"
747479001052,"Rao's Homemade Tomato Basil Sauce 24oz","Rao's Homemade","Pasta Sauce & Cooking Sauces"
747479001557,"Rao's Homemade Roasted Garlic Sauce 24oz","Rao's Homemade","Pasta Sauce & Cooking Sauces"
747479000130,"Rao's Homemade Vodka Sauce 24oz","Rao's Homemade","Pasta Sauce & Cooking Sauces"
747479001502,"Rao's Homemade Four Cheese Sauce 24oz","Rao's Homemade","Pasta Sauce & Cooking Sauces"
747479001182,"Rao's Homemade Alfredo Sauce 15oz","Rao's Homemade","Pasta Sauce & Cooking Sauces"
051000050434,"Prego Three Cheese Italian Sauce 24oz","Prego","Pasta Sauce & Cooking Sauces"
051000027962,"Prego Mushroom Italian Sauce 24oz","Prego","Pasta Sauce & Cooking Sauces"
051000198563,"Prego Creamy Vodka Sauce 24oz","Prego","Pasta Sauce & Cooking Sauces"
041129077825,"Classico Roasted Garlic Pasta Sauce 24oz","Classico","Pasta Sauce & Cooking Sauces"
036200219331,"Bertolli Olive Oil & Garlic Pasta Sauce 24oz","Bertolli","Pasta Sauce & Cooking Sauces"
020662000224,"Newman's Own Sockarooni Pasta Sauce 24oz","Newman's Own","Pasta Sauce & Cooking Sauces"
020662006196,"Newman's Own Tomato & Basil Bombolina Pasta Sauce 24oz","Newman's Own","Pasta Sauce & Cooking Sauces"
070234017501,"Victoria Vegan Original Vodka Sauce 18oz","Victoria Fine Foods","Pasta Sauce & Cooking Sauces"
725342441921,"Muir Glen Organic Classic Marinara Pasta Sauce 25.5oz","Muir Glen","Pasta Sauce & Cooking Sauces"
850024735071,"Carbone Marinara Sauce 32oz","Carbone Fine Food","Pasta Sauce & Cooking Sauces"
085501900400,"Michael's of Brooklyn Marinara Sauce 32oz","Michael's of Brooklyn","Pasta Sauce & Cooking Sauces"
041129077122,"Classico Tomato & Basil Pasta Sauce 24oz","Classico","Pasta Sauce & Cooking Sauces"
762111934482,"Starbucks Veranda Blend Ground Coffee 12oz","Starbucks","Coffee & Tea"
762111206251,"Starbucks Breakfast Blend Ground Coffee 12oz","Starbucks","Coffee & Tea"
762111622877,"Starbucks Caffè Verona Ground Coffee 12oz","Starbucks","Coffee & Tea"
785357831261,"Peet's Coffee Big Bang Medium Roast Ground Coffee 12oz","Peet's Coffee","Coffee & Tea"
881334000474,"Dunkin French Vanilla Ground Coffee 12oz","Dunkin","Coffee & Tea"
881334000467,"Dunkin Original Blend Medium Roast Ground Coffee 12oz","Dunkin","Coffee & Tea"
035700076406,"Community Coffee Breakfast Blend Medium Roast Ground Coffee 32oz","Community Coffee","Coffee & Tea"
011141100290,"Eight O'Clock Original Medium Roast Ground Coffee 12oz","Eight O'Clock Coffee","Coffee & Tea"
025500205403,"Folgers Black Silk Dark Roast Ground Coffee 10.3oz","Folgers","Coffee & Tea"
074471006106,"Cafe Bustelo Espresso Dark Roast Ground Coffee 10oz","Cafe Bustelo","Coffee & Tea"
043000070352,"Maxwell House Breakfast Blend Mild Roast Ground Coffee","Maxwell House","Coffee & Tea"
794522003099,"Tazo Organic Zen Green Tea 16ct","Tazo","Coffee & Tea"
076950204546,"Yogi Honey Lavender Stress Relief Tea 16ct","Yogi","Coffee & Tea"
077652082227,"Stash Premium Peppermint Herbal Tea 20ct","Stash Tea","Coffee & Tea"
