Barcode,Product Name,Brand,Category
,Boar's Head Ovengold Roasted Turkey Breast,Boar's Head,Deli Meat
,Boar's Head Deluxe Ham,Boar's Head,Deli Meat
,Dietz & Watson Oven Classic Turkey Breast,Dietz & Watson,Deli Meat
,Dietz & Watson Black Forest Smoked Ham,Dietz & Watson,Deli Meat
,Land O'Frost Premium Honey Ham,Land O'Frost,Deli Meat
,Land O'Frost Premium Oven Roasted Turkey Breast,Land O'Frost,Deli Meat
,Jif Extra Crunchy Peanut Butter,Jif,Peanut Butter
,Jif Natural Creamy Peanut Butter Spread,Jif,Peanut Butter
,Jif Natural Crunchy Peanut Butter Spread,Jif,Peanut Butter
,Jif No Added Sugar Creamy Peanut Butter Spread,Jif,Peanut Butter
,Jif Simply Creamy Peanut Butter,Jif,Peanut Butter
,Jif Reduced Fat Creamy Peanut Butter Spread,Jif,Peanut Butter
,Skippy Super Chunk Peanut Butter,Skippy,Peanut Butter
,Skippy Natural Creamy Peanut Butter Spread,Skippy,Peanut Butter
,Skippy Natural Super Chunk Peanut Butter Spread,Skippy,Peanut Butter
,Skippy Reduced Fat Creamy Peanut Butter Spread,Skippy,Peanut Butter
,Skippy Creamy Peanut Butter Spread No Sugar Added,Skippy,Peanut Butter
,Peter Pan Crunchy Peanut Butter,Peter Pan,Peanut Butter
,Peter Pan Natural Creamy Peanut Butter Spread,Peter Pan,Peanut Butter
,Smucker's Natural Creamy Peanut Butter,Smucker's,Peanut Butter
,Smucker's Natural Chunky Peanut Butter,Smucker's,Peanut Butter
,Justin's Classic Peanut Butter,Justin's,Peanut Butter
,Crazy Richard's 100% Peanuts Creamy Peanut Butter,Crazy Richard's,Peanut Butter
,Santa Cruz Organic Dark Roasted Creamy Peanut Butter,Santa Cruz Organic,Peanut Butter
,Santa Cruz Organic Dark Roasted Crunchy Peanut Butter,Santa Cruz Organic,Peanut Butter
,Teddie All Natural Smooth Peanut Butter,Teddie,Peanut Butter
,Lay's Barbecue Potato Chips,Lay's,Chips
,Lay's Sour Cream & Onion Potato Chips,Lay's,Chips
,Ruffles Original Potato Chips,Ruffles,Chips
,Ruffles Cheddar & Sour Cream Potato Chips,Ruffles,Chips
,Tostitos Scoops Tortilla Chips,Tostitos,Chips
,Tostitos Original Restaurant Style Tortilla Chips,Tostitos,Chips
,Fritos Chili Cheese Corn Chips,Fritos,Chips
,Fritos Scoops Corn Chips,Fritos,Chips
,Doritos Cool Ranch Tortilla Chips,Doritos,Chips
,Doritos Spicy Sweet Chili Tortilla Chips,Doritos,Chips
,Cheetos Puffs Cheese Flavored Snacks,Cheetos,Chips
,Cheetos Crunchy Flamin' Hot Limon Cheese Flavored Snacks,Cheetos,Chips
,SunChips Harvest Cheddar Whole Grain Snacks,SunChips,Chips
,SunChips Garden Salsa Whole Grain Snacks,SunChips,Chips
,Kettle Brand Backyard Barbeque Potato Chips,Kettle Brand,Chips
,Kettle Brand Jalapeno Potato Chips,Kettle Brand,Chips
,Cape Cod Original Kettle Cooked Potato Chips,Cape Cod,Chips
,Cape Cod Reduced Fat Original Kettle Cooked Potato Chips,Cape Cod,Chips
,Takis Fuego Rolled Tortilla Chips,Takis,Chips
,Pringles Original Potato Crisps,Pringles,Chips
,Ritz Garlic Butter Crackers,Ritz,Crackers
,Ritz Fresh Stacks Original Crackers,Ritz,Crackers
,Wheat Thins Reduced Fat Whole Grain Wheat Crackers,Wheat Thins,Crackers
,Triscuit Cracked Pepper and Olive Oil Crackers,Triscuit,Crackers
,Club Original Crackers,Club,Crackers
,Town House Original Crackers,Town House,Crackers
,Town House Pita Sea Salt Crackers,Town House,Crackers
,Cheez-It Extra Toasty Baked Snack Crackers,Cheez-It,Crackers
,Cheez-It White Cheddar Baked Snack Crackers,Cheez-It,Crackers
,Goldfish Colors Cheddar Crackers,Goldfish,Crackers
,Goldfish Parmesan Crackers,Goldfish,Crackers
,Simple Mills Almond Flour Sea Salt Crackers,Simple Mills,Crackers
,Mary's Gone Crackers Super Seed Classic Crackers,Mary's Gone Crackers,Crackers
,Back to Nature Classic Round Crackers,Back to Nature,Crackers
,Annie's Organic Cheddar Bunnies Crackers,Annie's,Crackers
,Carr's Table Water Crackers,Carr's,Crackers
,Wasa Multi Grain Crispbread,Wasa,Crackers
,Premium Original Saltine Crackers,Premium,Crackers
,Good Thins Simply Salt Corn & Rice Snacks,Good Thins,Crackers
,Crunchmaster Multi-Grain Sea Salt Crackers,Crunchmaster,Crackers
,Vital Farms Organic Pasture-Raised Large Eggs,Vital Farms,Eggs
,Vital Farms Pasture-Raised Extra Large Eggs,Vital Farms,Eggs
,Vital Farms Alfresco Large Eggs,Vital Farms,Eggs
,Pete & Gerry's Organic Free-Range Extra Large Eggs,Pete & Gerry's,Eggs
,Pete & Gerry's Organic Pasture-Raised Eggs,Pete & Gerry's,Eggs
,Nellie's Free Range Large White Eggs,Nellie's,Eggs
,Nellie's Free Range Organic Large Brown Eggs,Nellie's,Eggs
,Eggland's Best Cage Free Large Brown Eggs,Eggland's Best,Eggs
,Eggland's Best Organic Large Brown Eggs,Eggland's Best,Eggs
,Eggland's Best Classic Extra Large White Eggs,Eggland's Best,Eggs
,Happy Egg Organic Free Range Large Brown Eggs,Happy Egg,Eggs
,Happy Egg Free Range Blue and Brown Heritage Breed Eggs,Happy Egg,Eggs
,Bob Evans 100% Liquid Egg Whites,Bob Evans,Eggs
,Lucerne Grade AA Large Eggs,Lucerne,Eggs
,365 by Whole Foods Market Cage-Free Large Brown Eggs,365 by Whole Foods Market,Eggs
,McCann's Steel Cut Irish Oatmeal,McCann's,Hot Cereal
,McCann's Quick & Easy Steel Cut Irish Oatmeal,McCann's,Hot Cereal
,Quaker Quick 1-Minute Oats,Quaker,Hot Cereal
,Quaker Steel Cut Quick 3-Minute Oatmeal,Quaker,Hot Cereal
,Quaker Instant Oatmeal Apples & Cinnamon,Quaker,Hot Cereal
,Quaker Instant Oatmeal Cinnamon & Spice,Quaker,Hot Cereal
,Quaker Instant Oatmeal Dinosaur Eggs Brown Sugar,Quaker,Hot Cereal
,Quaker Protein Instant Oatmeal Banana Nut,Quaker,Hot Cereal
,Bob's Red Mill Steel Cut Oats,Bob's Red Mill,Hot Cereal
,Bob's Red Mill Scottish Oatmeal,Bob's Red Mill,Hot Cereal
,Bob's Red Mill Gluten Free Old Fashioned Rolled Oats,Bob's Red Mill,Hot Cereal
,Bob's Red Mill Gluten Free Quick Cooking Rolled Oats,Bob's Red Mill,Hot Cereal
,Better Oats Maple & Brown Sugar Instant Oatmeal,Better Oats,Hot Cereal
,Better Oats Steel Cut Instant Oatmeal with Flax,Better Oats,Hot Cereal
,Kodiak Protein-Packed Oatmeal Maple & Brown Sugar,Kodiak,Hot Cereal
,Cream of Rice Hot Cereal,Cream of Rice,Hot Cereal
,Malt-O-Meal Original Hot Wheat Cereal,Malt-O-Meal,Hot Cereal
,Nature's Path Organic Maple Nut Instant Oatmeal,Nature's Path,Hot Cereal
,Bear Naked Fruit and Nut Granola,Bear Naked,Granola
,Bear Naked Triple Berry Granola,Bear Naked,Granola
,Bear Naked Cacao and Cashew Butter Granola,Bear Naked,Granola
,KIND Healthy Grains Peanut Butter Whole Grain Clusters,KIND,Granola
,KIND Healthy Grains Dark Chocolate Whole Grain Clusters,KIND,Granola
,KIND Healthy Grains Cinnamon Oat Clusters,KIND,Granola
,Purely Elizabeth Ancient Grain Granola Vanilla Almond Butter,Purely Elizabeth,Granola
,Purely Elizabeth Chocolate Sea Salt Probiotic Granola,Purely Elizabeth,Granola
,Cascadian Farm Organic Fruit and Nut Granola,Cascadian Farm,Granola
,Nature's Path Love Crunch Dark Chocolate and Red Berries Granola,Nature's Path,Granola
,Nature's Path Pumpkin Seed and Flax Granola,Nature's Path,Granola
,MadeGood Strawberry Granola Minis,MadeGood,Granola
,Safe + Fair Birthday Cake Granola,Safe + Fair,Granola
,Udi's Gluten Free Au Naturel Granola,Udi's,Granola
,Bakery on Main Extreme Fruit and Nut Granola,Bakery on Main,Granola
,Seven Sundays Maple Sea Salt Oat Protein Cereal,Seven Sundays,Granola
,Rao's Homemade Tomato Basil Sauce,Rao's Homemade,Pasta Sauce & Cooking Sauces
,Rao's Homemade Roasted Garlic Sauce,Rao's Homemade,Pasta Sauce & Cooking Sauces
,Rao's Homemade Vodka Sauce,Rao's Homemade,Pasta Sauce & Cooking Sauces
,Rao's Homemade Alfredo Sauce,Rao's Homemade,Pasta Sauce & Cooking Sauces
,Rao's Homemade Four Cheese Sauce,Rao's Homemade,Pasta Sauce & Cooking Sauces
,Prego Three Cheese Italian Sauce,Prego,Pasta Sauce & Cooking Sauces
,Prego Mushroom Italian Sauce,Prego,Pasta Sauce & Cooking Sauces
,Prego Creamy Vodka Sauce,Prego,Pasta Sauce & Cooking Sauces
,Classico Tomato and Basil Pasta Sauce,Classico,Pasta Sauce & Cooking Sauces
,Classico Four Cheese Pasta Sauce,Classico,Pasta Sauce & Cooking Sauces
,Classico Roasted Garlic Pasta Sauce,Classico,Pasta Sauce & Cooking Sauces
,Bertolli Olive Oil and Garlic Pasta Sauce,Bertolli,Pasta Sauce & Cooking Sauces
,Bertolli Five Cheese Pasta Sauce,Bertolli,Pasta Sauce & Cooking Sauces
,Newman's Own Sockarooni Pasta Sauce,Newman's Own,Pasta Sauce & Cooking Sauces
,Newman's Own Tomato and Basil Bombolina Pasta Sauce,Newman's Own,Pasta Sauce & Cooking Sauces
,Barilla Vero Gusto Calabrian Marinara,Barilla,Pasta Sauce & Cooking Sauces
,Victoria Vodka Sauce,Victoria Fine Foods,Pasta Sauce & Cooking Sauces
,Muir Glen Organic Classic Marinara Pasta Sauce,Muir Glen,Pasta Sauce & Cooking Sauces
,Carbone Marinara Sauce,Carbone,Pasta Sauce & Cooking Sauces
,Michael's of Brooklyn Marinara Sauce,Michael's of Brooklyn,Pasta Sauce & Cooking Sauces
,Starbucks Veranda Blend Ground Coffee,Starbucks,Coffee & Tea
,Starbucks Caffe Verona Ground Coffee,Starbucks,Coffee & Tea
,Starbucks Breakfast Blend Ground Coffee,Starbucks,Coffee & Tea
,Dunkin Original Blend Ground Coffee,Dunkin,Coffee & Tea
,Dunkin French Vanilla Ground Coffee,Dunkin,Coffee & Tea
,Peet's Major Dickason's Blend Ground Coffee,Peet's Coffee,Coffee & Tea
,Peet's Big Bang Medium Roast Ground Coffee,Peet's Coffee,Coffee & Tea
,Community Coffee Breakfast Blend Ground Coffee,Community Coffee,Coffee & Tea
,Eight O'Clock The Original Ground Coffee,Eight O'Clock Coffee,Coffee & Tea
,Lavazza Classico Ground Coffee,Lavazza,Coffee & Tea
,Cafe Bustelo Espresso Ground Coffee,Cafe Bustelo,Coffee & Tea
,Folgers Black Silk Ground Coffee,Folgers,Coffee & Tea
,Maxwell House Breakfast Blend Ground Coffee,Maxwell House,Coffee & Tea
,Bigelow Earl Grey Black Tea,Bigelow,Coffee & Tea
,Bigelow Constant Comment Black Tea,Bigelow,Coffee & Tea
,Twinings Earl Grey Tea,Twinings,Coffee & Tea
,Tazo Awake English Breakfast Tea,Tazo,Coffee & Tea
,Tazo Zen Green Tea,Tazo,Coffee & Tea
,Yogi Honey Lavender Stress Relief Tea,Yogi,Coffee & Tea
,Celestial Seasonings Bengal Spice Herbal Tea,Celestial Seasonings,Coffee & Tea
,Stash Premium Peppermint Herbal Tea,Stash,Coffee & Tea
