token,frequency,matched_via,risk,category
"maltodextrin corn",94,"corn",Low,vegetables
"partially defatted peanuts",94,"peanuts",Low,proteins
"potassium sorbate and sodium benzoate as preservatives",93,"potassium sorbate",Low,preservatives
"toasted rice cereal",93,"cereal",Medium,grains
"yogurt flavored coating sugar",93,"yogurt coating sugar",Medium,sweeteners
"ascorbic acid to maintain color",92,"acid maintain color",Medium,additives
"dehydrated chicken",92,"chicken",Low,proteins
"pasteurized milk cream",92,"milk cream",Medium,dairy-alternatives
"purified stevia leaf extract",92,"stevia leaf extract",Low,sweeteners
"dehydrated celery",91,"celery",Low,vegetables
"part skim cow s milk",91,"milk",Low,dairy
"sweet dairy whey",91,"whey",Medium,dairy
"yellow cornmeal",91,"cornmeal",Low,grains
"fresh onions",90,"onions",Low,vegetables
"habanero pepper",90,"pepper",Low,vegetables
"jalapeo peppers",90,"peppers",Low,vegetables
"stabilizers xanthan",90,"xanthan",Low,emulsifiers
"vegetable stock",90,"stock",Low,proteins
"whole grain popping corn",90,"popping corn",Low,sweeteners
"anti caking blend potato starch",89,"blend potato starch",Low,grains
"contains less than of citric acid",89,"citric acid",Low,preservatives
"disodium succinate",89,"succinate",Low,emulsifiers
"enzymes wheat",89,"wheat",Low,grains
"organic expeller pressed sunflower oil",89,"sunflower oil",Low,oils
"sunflower and or soybean",89,"sunflower",Low,oils
"chicory fiber",88,"fiber",Low,grains
"cultured milk and cream",88,"cultured milk",Low,dairy
"cultured wheat",88,"wheat",Low,grains
"lime juice from concentrate",88,"lime juice concentrate",Low,fruits
"sodium benzoate a preservative",88,"sodium benzoate preservative",High,preservatives
"sunflower and or soybean oil",88,"sunflower",Low,oils
"coconut flakes",87,"coconut",Medium,fats
"organic expeller pressed soybean oil",87,"soybean oil",Low,oils
"bicarbonate of soda",86,"soda",Low,additives
"potassium sorbate as a preservative",86,"potassium sorbate as",Low,preservatives
"safflower and or canola oil",86,"safflower",Low,oils
"chicken white meat",85,"meat",Medium,flavor-enhancers
"colored with annatto",85,"annatto",Low,dyes
"cranberry juice from concentrate",85,"cranberry juice concentrate",Medium,fruits
"enzymes and annatto",85,"enzymes",Low,additives
"high oleic sunflower",85,"sunflower",Low,oils
"liquid and hydrogenated soybean oil",85,"hydrogenated soybean oil",High,fats
"niacin niacinamide",85,"niacinamide",Low,vitamins
"sunflower oil and or canola oil",85,"sunflower oil",Low,oils
"dairy whey",84,"whey",Medium,dairy
"dried unsweetened coconut",84,"coconut",Medium,fats
"cacao beans",83,"beans",Low,legumes
"chicory fiber syrup",83,"fiber syrup",Low,grains
"grill flavor from sunflower oil",83,"sunflower oil",Low,oils
"pizza sauce",83,"sauce",Medium,flavor-enhancers
"beef gelatin",82,"gelatin",Low,proteins
"milled corn",82,"corn",Low,vegetables
"white corn",82,"corn",Low,vegetables
"chocolate flavored chips",81,"chocolate chips",Medium,confectionery
"potassium sorbate preserves freshness",81,"potassium sorbate",Low,preservatives
"serrano peppers",81,"peppers",Low,vegetables
"blackberry puree",80,"blackberry",Low,fruits
"calcium propionate a preservative",80,"calcium propionate preservative",Low,preservatives
"canola lecithin",80,"lecithin",Low,emulsifiers
"citric acid to help protect flavor",80,"citric acid help",Low,preservatives
"coconut with sodium metabisulfite",80,"sodium metabisulfite",Medium,preservatives
"corn cereal",80,"cereal",Medium,grains
"garlic and onion powder",80,"garlic",Low,spices
"soybean and or sunflower",80,"soybean",Low,oils
"soybean oil and or corn oil",80,"soybean oil",Low,oils
"sunflower oil and or safflower oil",80,"sunflower oil",Low,oils
"white grape juice from concentrate",80,"white grape juice concentrate",Medium,sweeteners
"yeast nutrients",80,"yeast",Low,probiotics
"barley flakes",79,"barley",Low,beverages
"canola oil and or soybean oil",79,"canola oil",Low,oils
"contains less than of whey",79,"whey",Medium,dairy
"breading set in vegetable oil",78,"set in vegetable oil",Low,oils
"fontina cheese",78,"cheese",Low,dairy
"niacin reduced iron",78,"niacin iron",Low,vitamins
"bamboo fiber",77,"fiber",Low,grains
"carboxymethyl cellulose",77,"cellulose",Low,additives
"green chard",77,"chard",Low,vegetables
"pumpkin seed",77,"seed",Low,seeds
"reduced protein whey",77,"protein whey",Medium,dairy
"chicken skin",76,"chicken",Low,proteins
"dl alpha tocopheryl acetate vitamin e",76,"tocopheryl acetate vitamin e",Low,additives
"preservative potassium sorbate",76,"potassium sorbate",Low,preservatives
"apple fiber",75,"fiber",Low,grains
"cheese pasteurized milk",75,"cheese milk",Low,dairy
"cocoa beans",75,"beans",Low,legumes
"organic tapioca syrup solids",75,"syrup solids",Medium,sweeteners
"sweetened condensed skim milk condensed skim milk",75,"sweetened condensed milk condensed milk",Medium,dairy
"tapioca syrup solids",75,"syrup solids",Medium,sweeteners
"vitamin a palmitate and vitamin d added",75,"vitamin a palmitate",Low,vitamins
"caramel corn syrup",74,"corn syrup",Low,sweeteners
"expeller pressed canola oil and or safflower oil and or sunflower oil",74,"expeller pressed canola oil",Medium,fats
"fava bean protein",74,"bean protein",Low,legumes
"lemon juice from concentrate water",74,"lemon juice concentrate water",Low,spices
"sodium nitrite may contain sugar",74,"may contain sugar",Low,preservatives
"yogurt culture",74,"culture",Low,probiotics
"beef base",73,"beef",Medium,proteins
"contains or less of spices",73,"or spices",Low,spices
"dehydrated cilantro",73,"cilantro",Low,spices
"glutinous rice",73,"rice",Low,grains
"organic white quinoa",73,"quinoa",Low,grains
"cocoa paste",72,"paste",Medium,fruits
"rice wine",72,"wine",Low,preservatives
"safflower and or sunflower oil",72,"safflower",Low,oils
"turkey stock",72,"stock",Low,proteins
"cultured celery juice powder",71,"celery juice powder",Medium,preservatives
"palm oil and soybean oil",71,"palm oil",Low,oils
"sausage pork",71,"pork",Low,proteins
"white quinoa",71,"quinoa",Low,grains
"cashew nuts",70,"nuts",Low,proteins
"cocoa alkali processed",70,"alkali",Low,cacao
"coffee beans",70,"beans",Low,legumes
"hydrolyzed gelatin",70,"gelatin",Low,proteins
"organic cacao butter",70,"butter",Medium,dairy
"pepper sauce",70,"sauce",Medium,flavor-enhancers
"rendered beef fat",70,"beef fat",Medium,proteins
"anhydrous milkfat",69,"milkfat",Low,dairy
"corn fiber",69,"fiber",Low,grains
"corn grits",69,"grits",Low,grains
"dairy cream",69,"cream",Low,dairy
"diced onion",69,"onion",Low,vegetables
"hydrogenated coconut",69,"coconut",Medium,fats
"organic chia seed",69,"seed",Low,seeds
"pure filtered water",69,"filtered water",Low,additives
"soybean or canola oil",69,"soybean",Low,oils
"contains or less of leavening sodium acid pyrophosphate",68,"leavening sodium acid pyrophosphate",Low,additives
"contains wheat",68,"wheat",Low,grains
"corn and or canola oil",68,"corn",Low,vegetables
"dehydrated chives",68,"chives",Low,vegetables
"hydrogenated rapeseed and cottonseed oil",68,"and cottonseed oil",Low,oils
"liquid pepper extract",68,"pepper extract",Low,vegetables
"organic sunflower and or organic safflower oil",68,"organic sunflower",Low,oils
"poblano pepper",68,"pepper",Low,vegetables
"roasted onions",68,"onions",Low,vegetables
"sodium benzoate preserves freshness",68,"sodium benzoate",High,preservatives
"vegetable base",68,"vegetable",Low,oils
"enrichment blend magnesium oxide",67,"blend magnesium oxide",Low,dyes
"fruit and vegetable juice concentrate",67,"fruit",Medium,sweeteners
"fruit puree",67,"fruit",Medium,sweeteners
"granola whole grain oats",67,"oats",Low,grains
"organic cultured pasteurized milk",67,"cultured milk",Low,dairy
"potassium sorbate as preservative",67,"potassium sorbate as",Low,preservatives
"cellulose fiber",66,"fiber",Low,grains
"cherry tomatoes",66,"tomatoes",Low,vegetables
"concentrated pineapple juice",66,"pineapple juice",Low,beverages
"crab meat",66,"meat",Medium,flavor-enhancers
"ketchup tomato concentrate",66,"tomato concentrate",Low,beverages
"organic non fat dry milk",66,"non fat dry milk",Low,dairy
"poppy seed",66,"seed",Low,seeds
"semolina flour",66,"semolina",Medium,grains
"colby cheese",65,"cheese",Low,dairy
"enzymes microbial",65,"enzymes",Low,additives
"expeller pressed safflower oil",65,"safflower oil",Low,oils
"jalapeno puree",65,"jalapeno",Low,vegetables
"manganese gluconate",65,"manganese",Low,vitamins
"spices and herbs",65,"spices",Low,spices
"wheat fiber",65,"fiber",Low,grains
"aluminum free baking powder",64,"baking powder",Low,additives
"and hydrogenated cottonseed oil",64,"hydrogenated cottonseed oil",High,fats
"canola or soybean oil",64,"canola",Low,oils
"cultured sugar and vinegar",64,"cultured sugar",Low,dairy
"hard cooked eggs",64,"eggs",Low,proteins
"soybean oil with tbhq for freshness",64,"oil tbhq for",Medium,preservatives
"unsweetened coconut",64,"coconut",Medium,fats
"bha bht added to protect flavor",63,"bht",Medium,preservatives
"canola and or peanut and or cottonseed oil",63,"canola",Low,oils
"contains or less of lecithin soy",63,"or lecithin soy",Low,emulsifiers
"cultured reduced fat milk",63,"cultured fat milk",Low,dairy
"sodium bicarbonate leavening",63,"sodium bicarbonate",Low,additives
"sweetened condensed whole milk",63,"sweetened condensed milk",Medium,dairy
"yellow mustard",63,"mustard",Low,spices
"aluminum sodium sulfate",62,"sodium sulfate",Low,additives
"and annatto added for color",62,"and annatto for color",Low,dyes
"cottonseed and or soybean",62,"cottonseed",Low,oils
"ground yellow corn",62,"corn",Low,vegetables
"organic gluten free oats",62,"oats",Low,grains
"yellow squash",62,"squash",Low,vegetables
"cooked enriched pasta water",61,"cooked pasta water",Medium,grains
"fractionated coconut oil",61,"coconut oil",Medium,fats
"hard red wheat",61,"red wheat",Low,grains
"liquid soybean oil",61,"soybean oil",Low,oils
"organic cacao beans",61,"beans",Low,legumes
"and or canola oil with tbhq for freshness",60,"and or canola oil",Low,oils
"concentrated grape juice",60,"grape juice",Low,beverages
"degermed yellow cornmeal",60,"degermed yellow",Medium,dyes
"extractives of paprika and annatto",60,"extractives of paprika",Low,spices
"extractives of turmeric and annatto",60,"extractives of turmeric",Low,spices
"high maltose corn syrup",60,"corn syrup",Low,sweeteners
"mustard vinegar",60,"vinegar",Low,preservatives
"palm and soybean oils with tbhq and citric acid to protect flavor",60,"palm",Low,oils
"pasteurized goat milk",60,"goat milk",Low,dairy
"sesame sticks",60,"sesame",Low,fats
"spices including mustard",60,"mustard",Low,spices
"black carrot juice",59,"carrot juice",Low,vegetables
"canola and palm oil",59,"canola",Low,oils
"cultured grade a milk",59,"cultured milk",Low,dairy
"guava puree",59,"guava",Low,fruits
"non hydrogenated palm oil",59,"hydrogenated palm oil",High,fats
"safflower and or sunflower and or canola oil",59,"safflower",Low,oils
"sodium benzoate as preservative",59,"sodium benzoate as",High,preservatives
"with tbhq for freshness",59,"tbhq for",Medium,preservatives
"annatto coloring",58,"annatto",Low,dyes
"cheese seasoning",58,"cheese",Low,dairy
"creamer coconut oil",58,"coconut oil",Medium,fats
"grade a whey",58,"whey",Medium,dairy
"green chilies",58,"chilies",Low,spices
"less than high fructose corn syrup",58,"high fructose corn syrup",High,sweeteners
"mascarpone cheese",58,"cheese",Low,dairy
"peanut and or cottonseed oil",58,"peanut",Low,proteins
"short chain fructooligosaccharides",58,"short chain",Low,fats
"soybean and or palm oil",58,"soybean",Low,oils
"textured vegetable protein product soy protein concentrate",58,"protein product soy protein concentrate",Medium,grains
"tocopherols added to protect flavor",58,"tocopherols",Low,vitamins
"baking powder cornstarch",57,"powder cornstarch",Low,additives
"butter flavor maltodextrin",57,"maltodextrin",Low,additives
"butter made from milk",57,"made milk",Medium,sweeteners
"calcium propionate and sorbic acid to extend freshness",57,"calcium propionate",Low,preservatives
"palm and or canola",57,"palm",Low,oils
"apple juice from concentrate water",56,"apple juice concentrate water",Low,fruits
"fresh cream",56,"cream",Low,dairy
"fried pork skins",56,"fried pork",Low,proteins
"fruit vegetable juice",56,"vegetable juice",Low,dyes
"jalapeo pepper",56,"pepper",Low,vegetables
"non hydrogenated coconut oil",56,"hydrogenated coconut oil",High,fats
"rendered bacon fat",56,"bacon fat",Medium,proteins
"annatto turmeric color",55,"turmeric color",Low,dyes
"contains or less of cornstarch",55,"or cornstarch",Low,additives
"corn oil and or sunflower oil",55,"corn oil",Low,oils
"durum wheat",55,"wheat",Low,grains
"fd c blue lake",55,"fd c blue",Medium,dyes
"ice cream milkfat and nonfat milk",55,"milkfat and milk",Low,dairy
"includes blue lake",55,"blue",Medium,dyes
"nisin preparation and spices",55,"nisin preparation",Low,preservatives
"stone ground corn",55,"corn",Low,vegetables
"vegetable annatto color",55,"annatto color",Low,dyes
"vegetable rennet",55,"rennet",Low,additives
"citric acid and calcium chloride",54,"citric acid",Low,preservatives
"contains or less of modified food starch",54,"or modified food starch",Low,additives
"dehydrated spinach",54,"spinach",Low,vegetables
"green chile",54,"chile",Low,spices
"honey coating sucrose",54,"sucrose",Medium,fats
"invertase enzyme",54,"enzyme",Low,additives
"isolated oat product",54,"oat product",Medium,grains
"organic rice dextrin",54,"dextrin",Medium,additives
"pork and beef",54,"pork",Low,proteins
"potato fiber",54,"fiber",Low,grains
"whipping cream",54,"cream",Low,dairy
"active cultures",53,"cultures",Low,probiotics
"ascorbic acid antioxidant",53,"acid antioxidant",Low,additives
"canola and or sunflower",53,"canola",Low,oils
"contains or less of the following yeast",53,"or the following",Low,preservatives
"dried sweetened cranberries",53,"cranberries",Low,fruits
"ground white corn",53,"corn",Low,vegetables
"halved cherries artificially colored red with carmine",53,"artificially colored red",Low,additives
"high oleic canola",53,"canola",Low,oils
"inulin from chicory root",53,"chicory",Low,sweeteners
"pasteurized process cheese spread",53,"process cheese",Low,dairy
"peanut and or sunflower oil",53,"peanut",Low,proteins
"pepperoni seasoned pork",53,"pork",Low,proteins
"rehydrated enzyme modified cheese",53,"rehydrated enzyme modified",Low,additives
"anticake potato starch",52,"potato starch",Low,grains
"calcium propionate and potassium sorbate",52,"calcium propionate",Low,preservatives
"chicken and beef pork",52,"chicken",Low,proteins
"chicory root",52,"chicory",Low,sweeteners
"coconut with sodium metabisulfite preserves whiteness",52,"preserves whiteness",Medium,preservatives
"cultured grade a low fat milk",52,"cultured fat milk",Low,dairy
"mirin wine",52,"wine",Low,preservatives
"non dairy creamer",52,"non dairy",Low,dairy
"onion flakes",52,"onion",Low,vegetables
"organic white grape juice concentrate",52,"white grape juice concentrate",Medium,sweeteners
"whey protein hydrolysate",52,"protein hydrolysate",Medium,sugar-alcohols
"buttermilk cultured lowfat milk",51,"cultured lowfat milk",Low,dairy
"coloring includes red",51,"includes red",Medium,flavor-enhancers
"contains celery",51,"celery",Low,vegetables
"contains less than of modified corn starch",51,"modified corn starch",Low,additives
"fresh yeast",51,"yeast",Low,probiotics
"milk chocolate cane sugar",51,"cane sugar",Low,sweeteners
"organic coconut palm sugar",51,"coconut palm sugar",Medium,sweeteners
"palm and or soybean oil",51,"palm",Low,oils
"palm and soybean oil",51,"palm",Low,oils
"roasted red pepper",51,"red pepper",Low,vegetables
"yogurt flavored coating",51,"yogurt coating",Medium,sweeteners
"caramelized onions",50,"onions",Low,vegetables
"clarified pineapple juice concentrate",50,"pineapple juice concentrate",Low,fruits
"contains milk ingredients",50,"milk ingredients",Low,additives
"contains or less of each of the following yeast",50,"or each the following",Low,preservatives
"corn dextrin",50,"dextrin",Medium,additives
"cultured nonfat dry milk",50,"cultured dry milk",Low,dairy
"cultured part skim cow s milk",50,"cultured s milk",Low,dairy
"dehydrated carrot",50,"carrot",Low,vegetables
"dehydrated carrots",50,"carrots",Low,vegetables
"fully refined soybean oil",50,"soybean oil",Low,oils
"hydrogenated cottonseed rapeseed oil",50,"rapeseed oil",Medium,fats
"long grain rice",50,"rice",Low,grains
"palm fruit",50,"fruit",Medium,sweeteners
"sodium caseinate from milk",50,"sodium caseinate milk",Low,dairy
"soybean and or sunflower oil",50,"soybean",Low,oils
"sparkling filtered water",50,"filtered water",Low,additives
"sunflower or canola or rice oil",50,"sunflower",Low,oils
"tbhq and citric acid added to protect flavor",50,"tbhq",Medium,preservatives
"vegetable oil may contain one or more of the following corn",50,"oil may contain one or",Low,preservatives
"almond pieces",49,"almond",Low,nuts
"beef gelatine",49,"gelatine",Low,proteins
"citric acid may also contain or less of spices",49,"acid may also contain or",Low,preservatives
"color added includes red",49,"color includes red",Medium,flavor-enhancers
"contains or less of modified corn starch",49,"or modified corn starch",Low,sweeteners
"fish sauce",49,"sauce",Medium,flavor-enhancers
"fontina cheese pasteurized milk",49,"cheese milk",Low,dairy
"honey solids",49,"honey",Medium,sweeteners
"parboiled long grain rice",49,"parboiled long",Low,spices
"rice maltodextrin",49,"maltodextrin",Low,additives
"whole grain barley flakes",49,"barley",Low,beverages
"yellow peppers",49,"peppers",Low,vegetables
"bha bht in corn oil to retard oxidation",48,"bha bht in corn oil",Low,sweeteners
"canola and or soybean",48,"canola",Low,oils
"caramel swirl",48,"caramel",Medium,sweeteners
"chile peppers",48,"peppers",Low,vegetables
"concord grape juice from concentrate",48,"concord grape juice concentrate",Low,fruits
"dehydrated pork broth",48,"broth",Low,flavor-enhancers
"expeller pressed soybean oil",48,"soybean oil",Low,oils
"filling invert sugar",48,"invert sugar",Low,sweeteners
"fresh cucumbers",48,"cucumbers",Low,vegetables
"glucose syrup solids",48,"syrup solids",Medium,sweeteners
"isolated soy product",48,"soy product",Medium,grains
"modified tapioca and corn starch",48,"modified tapioca",Low,grains
"organic pumpkin seed protein",48,"pumpkin seed protein",Low,proteins
"vegetable oil may contain one or more of the following canola",48,"oil may contain one or",Low,preservatives
"cane or beet sugar",47,"cane",Low,sweeteners
"chicken and beef pizza topping",47,"chicken",Low,proteins
"cooked vegetables carrot",47,"carrot",Low,vegetables
"glucose fructose",47,"glucose",Medium,sweeteners
"green chili",47,"chili",Low,spices
"plum puree",47,"plum",Low,fruits
"safflower and or sunflower",47,"safflower",Low,oils
"vanilla seeds",47,"seeds",Low,seeds
"vegetable stock water",47,"stock water",Low,proteins
"yellow and blue",47,"yellow",Medium,dyes
"canola and or safflower oil",46,"canola",Low,oils
"contains or less of corn syrup",46,"or corn syrup",Low,sweeteners
"from sunflower oil",46,"sunflower oil",Low,oils
"hydrolyzed vegetable protein corn",46,"hydrolyzed vegetable protein",Low,flavor-enhancers
"italian sausage pork",46,"pork",Low,proteins
"kombucha culture",46,"culture",Low,probiotics
"non fat buttermilk whey",46,"non fat buttermilk",Low,dairy
"organic cracked wheat",46,"wheat",Low,grains
"preservatives sodium benzoate",46,"sodium benzoate",High,preservatives
"pure maple syrup",46,"maple syrup",Medium,sweeteners
"serrano pepper",46,"pepper",Low,vegetables
"vegetable oil blend soybean oil",46,"oil blend soybean oil",Low,oils
"yellow prussiate of soda",46,"prussiate soda",Low,additives
"black cherries",45,"cherries",Low,fruits
"cane invert syrup",45,"invert syrup",Low,sweeteners
"canola oil and extra virgin olive oil",45,"canola oil",Low,oils
"cheese whey",45,"whey",Medium,dairy
"cooked bacon",45,"bacon",Medium,proteins
"extractives of turmeric and paprika",45,"extractives of turmeric",Low,spices
"organic invert cane syrup",45,"cane syrup",Medium,sweeteners
"roasted pecans",45,"pecans",Low,nuts
"sodium hexametaphosphate to protect flavor",45,"sodium hexametaphosphate",Low,additives
"sprinkles icing sugar sugar",45,"icing sugar sugar",Medium,sweeteners
"turmeric and annatto",45,"turmeric",Low,spices
"chile pepper",44,"pepper",Low,vegetables
"cooked macaroni",44,"macaroni",Medium,grains
"cultured milk and skim milk",44,"cultured milk",Low,dairy
"cumin seeds",44,"seeds",Low,seeds
"edible shellac",44,"shellac",Low,additives
"enriched semolina flour",44,"semolina",Medium,grains
"enzyme modified cream",44,"modified cream",Medium,dairy-alternatives
"flour tortilla",44,"tortilla",Medium,grains
"fresh parsley",44,"parsley",Low,spices
"garlic cloves",44,"cloves",Low,spices
"guar gums",44,"gums",Low,emulsifiers
"high oleic canola oil and or soybean oil",44,"high oleic canola oil",Low,fats
"hydrogenated vegetable oil rapeseed",44,"hydrogenated vegetable oil",High,fats
"italian sausage",44,"sausage",Medium,proteins
"kaffir lime peel",44,"lime",Low,spices
"methyl and propyl parabens",44,"and propyl",Medium,preservatives
"peppermint candy",44,"peppermint",Low,spices
"pork cured with water",44,"cured water",Low,additives
"potassium sorbate and natamycin",44,"potassium sorbate",Low,preservatives
"ripe olives",44,"olives",Low,fats
"sodium nitrite may also contain smoke flavoring",44,"sodium nitrite may also",High,preservatives
"sugar cane fiber",44,"sugar cane",Low,sweeteners
"canola and or palm oil",43,"canola",Low,oils
"chipotle puree",43,"chipotle",Low,spices
"contains or less of citric acid",43,"or citric acid",Low,preservatives
"cooked pizza topping",43,"pizza",Medium,grains
"cooked shrimp",43,"shrimp",Low,proteins
"edamame soybeans",43,"soybeans",Low,legumes
"ethyl vanillin",43,"vanillin",Low,flavor-enhancers
"glucose solids",43,"glucose",Medium,sweeteners
"invert cane sugar",43,"cane sugar",Low,sweeteners
"made from milk",43,"made milk",Medium,sweeteners
"organic acacia fiber",43,"fiber",Low,grains
"organic high oleic safflower and or sunflower oil",43,"and or sunflower oil",Low,oils
"poblano chiles",43,"chiles",Low,spices
"potassium sorbate for freshness",43,"potassium sorbate for",Low,preservatives
"sustainable palm oil",43,"palm oil",Low,oils
"tamarind paste",43,"paste",Medium,fruits
"white grape juice",43,"grape juice",Low,beverages
"colored with turmeric and annatto",42,"and annatto",Low,dyes
"derived from fruit",42,"fruit",Medium,sweeteners
"enzyme modified butterfat",42,"modified butterfat",Medium,dairy
"expeller pressed non gmo canola oil",42,"non gmo canola oil",Low,oils
"from beets",42,"beets",Low,vegetables
"fruit vegetable juice for color",42,"vegetable juice for color",Low,oils
"live cultures l bulgaricus",42,"l bulgaricus",Low,probiotics
"pasteurized grade a milk",42,"milk",Low,dairy
"soybean canola oil",42,"canola oil",Low,oils
"spice extractives including paprika",42,"extractives including",Low,dairy
"tortilla chips",42,"tortilla",Medium,grains
"vegetable juice concentrates onion",42,"juice concentrates onion",Low,spices
"vegetable stock carrot",42,"carrot",Low,vegetables
"wheat semolina",42,"semolina",Medium,grains
"alcohol to retain freshness",41,"alcohol",Medium,additives
"brewer s yeast",41,"s yeast",Low,flavor-enhancers
"contains or less of cocoa",41,"or cocoa",Low,cacao
"cultured pasteurized organic milk",41,"cultured milk",Low,dairy
"dairy butter milk",41,"butter milk",Medium,dairy
"diced tomato",41,"tomato",Low,beverages
"gouda cheese",41,"cheese",Low,dairy
"green romaine",41,"romaine",Low,vegetables
"lobster meat",41,"meat",Medium,flavor-enhancers
"native tapioca starch",41,"tapioca starch",Low,additives
"onion garlic powder",41,"garlic powder",Low,spices
"orange juice solids",41,"juice solids",Medium,sweeteners
"pork hearts",41,"pork",Low,proteins
"resistant maltodextrin",41,"maltodextrin",Low,additives
"sesame tahini",41,"tahini",Low,seeds
"sucrose fatty acid esters",41,"acid esters",Medium,emulsifiers
"annatto and paprika extract color",40,"annatto",Low,dyes
"cheese made with skim milk",40,"made milk",Medium,sweeteners
"coconut water from concentrate",40,"coconut water concentrate",Low,beverages
"confectionery glaze",40,"confectionery",Medium,fats
"cooked scrambled eggs",40,"scrambled eggs",Low,proteins
"dry nonfat yogurt cultured skim milk",40,"cultured milk",Low,dairy
"from wheat or corn",40,"or corn",Low,sweeteners
"green leaf",40,"green",Low,dyes
"herbs and spices",40,"herbs",Low,spices
"oyster sauce water",40,"sauce water",Medium,flavor-enhancers
"palm oil and or soybean oil",40,"palm oil",Low,oils
"reduced protein whey milk",40,"protein whey milk",Medium,dairy
"roasted tomatoes",40,"tomatoes",Low,vegetables
"tamari sauce",40,"sauce",Medium,flavor-enhancers
